0, 0, 0, 0, 0, 0, 0, 0
113,caw_kar,223M,n/a,n/a,,,11/3/2026
114,caw_kar,1676T,n/a,n/a,,,12/3/2026
115,caw_kar,776M,n/a,n/a,,,12/3/2026
116,caw_kar,2517T,n/a,n/a,,,12/3/2026
117,caw_kar,1648T,n/a,n/a,,,12/3/2026
118,caw_kar,1439T,n/a,n/a,,,13/3/2026
119,caw_kar,2561T,n/a,n/a,,,13/3/2026
120,caw_kar,2529T,n/a,n/a,,,13/3/2026
121,caw_kar,179M,n/a,n/a,,,13/3/2026
122,caw_kar,1326T,n/a,n/a,,,16/3/2026
123,caw_kar,1072T,n/a,n/a,,,16/3/2026
124,caw_kar,708M,n/a,n/a,,,16/3/2026
125,caw_kar,35M,n/a,n/a,,,16/3/2026
126,caw_kar,199M,n/a,n/a,,,17/3/2026
127,caw_kar,2556T,n/a,n/a,,,17/3/2026
128,caw_kar,2554T,n/a,n/a,,,17/3/2026
129,caw_kar,55M,n/a,n/a,,,18/3/2026
130,caw_kar,798M,n/a,n/a,,,18/3/2026
131,caw_kar,2564T,n/a,n/a,,,18/3/2026
132,caw_kar,958M,n/a,n/a,,,18/3/2026
133,caw_kar,279M,n/a,n/a,,,19/3/2026
134,caw_kar,136M,n/a,n/a,,,19/3/2026
135,caw_kar,1433T,n/a,n/a,,,20/3/2026
136,caw_kar,1376T,n/a,n/a,,,20/3/2026
137,caw_kar,1437T,n/a,n/a,,,20/3/2026
138,caw_kar,953M,n/a,n/a,,,20/3/2026
139,caw_kar,108M,n/a,n/a,,,23/3/2026
140,caw_kar,1667T,n/a,n/a,,,23/3/2026
141,caw_kar,2502T,n/a,n/a,,,23/3/2026
142,caw_kar,14M,n/a,n/a,,,23/3/2026
143,caw_kar,955M,n/a,n/a,,,26/3/2026
144,caw_kar,2565T,n/a,n/a,,,26/3/2026
145,caw_kar,1393T,n/a,n/a,,,26/3/2026
146,caw_kar,11M,n/a,n/a,,,26/3/2026
147,caw_kar,1426T,n/a,n/a,,,27/3/2026
148,caw_kar,1691T,n/a,n/a,,,27/3/2026
149,caw_kar,1400T,n/a,n/a,,,27/3/2026
150,caw_kar,192M,n/a,n/a,,,27/3/2026
151,caw_kar,892M,n/a,n/a,,,30/3/2026
152,caw_kar,1415T,n/a,n/a,,,2/4/2026
1,.nebulafire,7012,n/a,n/a,,,13/04/26
153,caw_kar,209M,n/a,n/a,,,27/04/2026
154,caw_kar,166M,Hurstbridge,X'Trapolis 100,Heidelberg,Ivanhoe,16/05/26
2,.nebulafire,9059,n/a,n/a,,,19/05/26
3,.nebulafire,925M,n/a,n/a,,,25/05/26
4,.nebulafire,513M,n/a,n/a,,,03/06/26
155,caw_kar,246M,n/a,n/a,,,03/06/26
5,.nebulafire,733M-2517T-734M,n/a,n/a,,,03/06/26
6,.nebulafire,389M-1063T-426M,n/a,n/a,,,03/06/26
